renda_mensal,nivel_endividamento,frequencia_poupanca,descricao,valor
6500,8,Alta,Aluguel apartamento,1500.0
6500,8,Alta,Condominio,350.0
6500,8,Alta,Conta de energia eletrica CEMIG,180.0
6500,8,Alta,Conta de agua SABESP,90.0
6500,8,Alta,Supermercado Pao de Acucar,550.0
6500,8,Alta,Restaurante fim de semana,120.0
6500,8,Alta,Padaria,60.0
6500,8,Alta,Feira livre frutas e verduras,80.0
6500,8,Alta,Combustivel posto Shell,280.0
6500,8,Alta,Seguro auto Porto Seguro,150.0
6500,8,Alta,IPVA parcela,100.0
6500,8,Alta,Estacionamento,40.0
6500,8,Alta,Plano de saude Unimed,380.0
6500,8,Alta,Farmacia Drogasil,60.0
6500,8,Alta,Academia mensalidade,120.0
6500,8,Alta,Mensalidade pos-graduacao,300.0
6500,8,Alta,Livros tecnicos,50.0
6500,8,Alta,Assinatura Netflix,39.9
6500,8,Alta,Assinatura Spotify,21.9
6500,8,Alta,Cinema,60.0
6500,8,Alta,Reserva viagem ferias,200.0
6500,8,Alta,Internet fibra optica,120.0
6500,8,Alta,Plano de celular Claro,80.0
6500,8,Alta,Seguro residencial,45.0
6500,8,Alta,Manicure,60.0
