renda_mensal,nivel_endividamento,frequencia_poupanca,descricao,valor
46623.0,5,Alta,Financiamento imovel alto padrao,7000.0
46623.0,5,Alta,Condominio cobertura,2000.0
46623.0,5,Alta,Conta de energia eletrica,500.0
46623.0,5,Alta,Conta de agua,250.0
46623.0,5,Alta,Mercado gourmet importados,1200.0
46623.0,5,Alta,Restaurante alta gastronomia,1500.0
46623.0,5,Alta,Adega vinhos selecionados,500.0
46623.0,5,Alta,Combustivel veiculo importado,700.0
46623.0,5,Alta,Seguro veicular importado,1000.0
46623.0,5,Alta,Manutencao veiculo de luxo,500.0
46623.0,5,Alta,Plano de saude premium,2500.0
46623.0,5,Alta,Personal trainer academia,600.0
46623.0,5,Alta,Check-up executivo completo,1000.0
46623.0,5,Alta,Escola internacional filhos,3500.0
46623.0,5,Alta,Curso de idiomas particular,400.0
46623.0,5,Alta,Viagem internacional ferias,4000.0
46623.0,5,Alta,Mensalidade clube alto padrao,800.0
46623.0,5,Alta,Teatro e opera,400.0
46623.0,5,Alta,Seguranca residencial e motorista particular,2500.0
46623.0,5,Alta,Assessoria juridica e contabilidade,1200.0
46623.0,5,Alta,Seguro de vida premium,600.0
46623.0,5,Alta,Diarista e apoio domestico,1000.0
