renda_mensal,nivel_endividamento,frequencia_poupanca,descricao,valor
2229.0,20,Baixa,Aluguel casa simples,650.0
2229.0,20,Baixa,Conta de energia eletrica CELPE,100.0
2229.0,20,Baixa,Conta de agua COMPESA,55.0
2229.0,20,Baixa,Gas de cozinha botijao,65.0
2229.0,20,Baixa,Feira e mercado - arroz feijao oleo,350.0
2229.0,20,Baixa,Acougue e peixaria,150.0
2229.0,20,Baixa,Padaria pao do dia a dia,100.0
2229.0,20,Baixa,Passagem de onibus trabalho,220.0
2229.0,20,Baixa,Farmacia remedio basico,70.0
2229.0,20,Baixa,Material escolar filhos,50.0
2229.0,20,Baixa,Praia e forro fim de semana,40.0
2229.0,20,Baixa,Celular pre-pago,40.0
