renda_mensal,nivel_endividamento,frequencia_poupanca,descricao,valor
2200,85,Baixa,Aluguel apartamento atrasado,900.0
2200,85,Baixa,Conta de energia eletrica,110.0
2200,85,Baixa,Conta de agua,60.0
2200,85,Baixa,Supermercado parcelado no cartao,380.0
2200,85,Baixa,iFood lanche,60.0
2200,85,Baixa,Passagem de onibus,100.0
2200,85,Baixa,Combustivel,120.0
2200,85,Baixa,Farmacia remedio basico,40.0
2200,85,Baixa,Fatura cartao de credito,650.0
2200,85,Baixa,Parcela emprestimo pessoal,300.0
2200,85,Baixa,Juros rotativo cartao de credito,130.0
